,w,vowels,unique,usage,avgGreenCommon,avgYellowCommon,avgGreen,avgYellow,entropy,pred_alpha,pred_beta,alpha,beta,avgBoth,steven_entropy
10,lunar,2,5,3.77,0.175,1.8499999999999999,0.33958659023797116,1.0878929998262985,0.4188027864665518,-0.2653508258746695,-0.03194436135368882,6.853172614905102,7.531428022763542,1.4274795900642696,6.261641751070899
11,third,1,5,5.32,0.5250000000000001,1.275,0.3307278096230676,0.8994267847837415,0.41028011900142847,-0.2523182903198461,-0.031111030187940418,7.955167073870784,11.303226530957266,1.230154594406809,5.8754105612702245
12,slate,2,5,3.82,1.474999999999999,1.5250000000000001,0.4743790168490533,1.5337849574431128,0.5387993458480594,-0.43917639172151335,-0.044624066934487956,3.248617259767121,4.366309169959743,2.008163974292166,8.3535979731666
13,taper,2,5,3.3,0.37500000000000006,2.4500000000000006,0.5391697064443286,1.1643216953274276,0.5652970539620671,-0.3430179244766373,-0.05071882232319681,3.896770776230488,3.858247289253679,1.7034914017717562,6.405761827559166
14,chord,1,5,3.65,0.25,0.8000000000000003,0.3362862602049679,0.8421052631578947,0.4158318833986896,-0.1909551579215816,-0.03163390464488059,7.475373970558157,9.249414391586154,1.1783915233628626,4.812560040932093
15,probe,2,5,3.99,0.8250000000000001,0.7000000000000003,0.3508771929824561,1.1262810491575472,0.4210815916187001,-0.27329598109720693,-0.033006450094348536,4.44313690057976,4.075656652757011,1.4771582421400034,4.747164718386287
16,rival,2,5,4.18,0.175,1.975,0.27844363383706794,1.0684384227896473,0.348362585093518,-0.26355648789168573,-0.02619274232734694,5.127985757292707,5.206054297906497,1.3468820566267152,6.130620161259781
17,usual,3,4,4.62,0.1,1.8499999999999996,0.16831683168316833,1.231023102310231,0.23215944326094493,-0.25112894504333705,-0.01583329214921981,6.548232115995055,5.785186323386683,1.3993399339933992,6.028940085523667
18,spoke,2,5,4.61,0.8000000000000003,0.7250000000000003,0.37502171269758555,1.2765329164495396,0.4379482095834687,-0.2872924384367251,-0.03527768601668241,6.215286678265431,6.755617948769496,1.651554629147125,5.752784009750371
19,apply,1,4,4.81,0.4,0.7500000000000002,0.27931214174048985,0.7238144867118291,0.3482817376611574,-0.1866983333111214,-0.02627444146124384,6.175956127297824,6.32019352113373,1.003126628452319,5.4839807639838005
20,naive,3,5,3.75,0.9500000000000002,1.5,0.385617509119333,1.099878408893521,0.4310033338331874,-0.33112004050074995,-0.036274415450224605,4.3931342574583985,4.210925316565042,1.485495918012854,6.037693665907009
21,knock,1,4,4.35,0.025,0.24999999999999997,0.1903769324300851,0.6364425916275838,0.2584811126149752,-0.10070190715926107,-0.017908450150201108,7.809287093493764,6.968955493564943,0.8268195240576689,4.1488786398113255
22,braid,2,5,3.24,0.8000000000000003,1.4749999999999999,0.38353309015112036,0.9619593538301199,0.45927176181846635,-0.30399590374531765,-0.03607833752887204,5.771452746801713,7.067400555041716,1.3454924439812403,5.6850352708275045
23,infer,2,5,3.16,0.275,1.7000000000000002,0.3401076949800243,1.1115164147993746,0.370765457057732,-0.2647717389779188,-0.03199338083402696,4.729103862059098,3.7823064983240786,1.451624109779399,4.546438234095277
24,joust,2,5,2.47,0.35000000000000003,1.0250000000000004,0.3324648254299114,1.0069480632273753,0.3902960578043889,-0.2268327970555879,-0.03127442845573422,5.004928572700622,5.084725619017891,1.3394128886572867,5.227128142113127
25,amber,2,5,3.97,0.6000000000000001,1.8249999999999997,0.3689421573736321,1.1639742921660587,0.40405632489690724,-0.315036377388291,-0.034705792079404094,4.489219540437271,4.016031543261082,1.532916449539691,5.8754105612702245
26,woken,2,5,3.37,0.275,0.8250000000000004,0.46204620462046203,0.8077123501823866,0.4835246292128644,-0.1988837537181555,-0.04346393923315195,6.0230171178317455,3.7746852431205657,1.2697585548028487,4.3625056412329
27,adore,3,5,3.7,1.2749999999999997,1.5250000000000001,0.30015633142261594,1.4999131492096578,0.3671111827638233,-0.39707156336875715,-0.028235220674769478,3.806664759388743,5.011976684362089,1.8000694806322737,6.268709075580088
28,torso,2,4,3.41,0.3500000000000001,1.225,0.3767587285044294,1.0898037172138266,0.4374239814327702,-0.2505395802656325,-0.035441084284476204,6.060928417230803,6.621202452930919,1.466562445718256,6.405053756359241
29,chafe,2,5,2.4,1.025,0.9750000000000004,0.34931387875629666,0.9874934861907243,0.4167418337466815,-0.2976036007824905,-0.03285939165333412,4.612643390114483,4.682997552069031,1.336807364947021,5.931915631128802
30,eject,2,4,2.99,0.175,1.2499999999999996,0.19107173875282266,0.789821087371895,0.2528235702060228,-0.1872604074466094,-0.01797380945731863,7.5424518197619195,5.530327664621732,0.9808928261247177,5.143258703278381
31,study,1,5,5.26,0.4000000000000001,1.1500000000000001,0.3546986277575126,0.9956574604828904,0.41690752004283416,-0.24105997175734453,-0.033365926283494905,4.63703895614317,4.709868917102535,1.350356088240403,5.215287382006091
32,undue,3,4,3.29,0.6000000000000001,0.9750000000000003,0.20323084940072955,0.9369463262115685,0.26709899009870763,-0.2320175379781911,-0.019117597331875257,5.835116368649526,4.872838696972884,1.140177175612298,4.618888352940763
33,tepid,2,5,2.71,0.22499999999999998,1.9249999999999998,0.33350703491401773,1.1120375195414278,0.40665368943866725,-0.275958086645717,-0.031372467416410504,6.188756098737914,7.798840895260703,1.4455445544554455,5.38711436951802
34,happy,1,4,5.35,0.15,0.8750000000000003,0.3819697759249609,0.4870592322390134,0.4354926984820914,-0.1544888328544174,-0.03593127908785762,5.978868467639996,6.246226849749311,0.8690290081639742,4.61294837774533
35,clean,2,5,4.97,0.35000000000000003,1.8499999999999999,0.3020670488101442,1.2945978808407157,0.38236191874448083,-0.2991020280789487,-0.028414958769342663,4.753885984476046,6.577153301400799,1.59666492965086,6.19709348748661
36,itchy,1,5,3.34,0.17500000000000002,0.9000000000000005,0.19419836720514155,0.8203925655723467,0.2495702617327228,-0.16967589534028119,-0.018267926339347478,6.137905078929559,6.70220628469763,1.0145909327774882,4.729993556852527
37,feast,2,5,3.95,0.8000000000000002,2.025,0.3821434775056453,1.4479763765850269,0.45364614490208166,-0.37865464863866183,-0.035947618914637,2.8460718258681434,3.238172339021875,1.8301198540906722,7.5184088429122715
38,drive,2,5,5.13,1.1500000000000001,1.05,0.336807364947021,1.0545422963348967,0.4038150007129435,-0.3200733924188128,-0.03168292412521873,4.173423973440629,4.916323769006492,1.3913496612819176,4.757521187934969
39,prime,2,5,4.81,1.125,0.8250000000000004,0.3718950842452666,1.071391349661282,0.4452385040704375,-0.31026411963363976,-0.03498356913465356,4.118037463718367,4.31372930727977,1.4432864339065485,4.686540205810289
40,axiom,3,5,3.02,0.7500000000000001,0.9000000000000002,0.20566267153031093,0.981935035608824,0.2676766086745215,-0.24799487600688194,-0.01934635490678658,4.832822677737702,4.05920023768884,1.187597707139135,4.923018708133908
41,brave,2,5,4.33,1.2249999999999996,1.1500000000000001,0.37328469689074173,1.0684384227896473,0.43727197589777006,-0.3385313584984354,-0.035114287748888605,3.7767372250202556,2.9482287618654412,1.441723119680389,6.270642551465936
42,avert,2,5,3.14,0.7000000000000002,2.125,0.2414451971512941,1.3513982977245094,0.31202939726397033,-0.3504520680353991,-0.02271235922333893,5.007815463119285,4.996634222008983,1.5928434948758035,7.264849880124453
43,glyph,0,5,2.7,0.125,0.125,0.19020323084940072,0.6644085461177697,0.2617275330747325,-0.10717553430582866,-0.01789211032342173,9.947750054544617,9.83805761376943,0.8546117769671704,4.456394224258959
44,there,2,4,6.31,0.8000000000000003,1.1,0.33854438075386484,0.9326037866944589,0.4164302738044514,-0.27554347992022366,-0.031846322393012536,5.09165777173261,6.527551180409518,1.2711481674483238,6.0755005549275864
45,baker,2,5,4.23,0.325,2.05,0.5351745700885878,0.9548375890220601,0.5569661931924546,-0.2950428991892998,-0.05034300630727107,3.180584017477254,2.1258680481058794,1.4900121591106479,5.456944486184474
46,snarl,1,5,2.62,0.8250000000000003,1.4,0.34896647559492794,1.4161889873197846,0.41467231751085987,-0.3387788153653446,-0.03282671199977536,4.136535022284934,3.461375505383425,1.7651554629147126,7.435096087187794
47,maple,2,5,3.86,0.65,1.4499999999999997,0.4094146256730936,1.108910891089109,0.4673505498428126,-0.3004802537012505,-0.03851297171899971,5.063108433594084,5.088345463442802,1.5183255167622027,6.805535055256974
48,inane,3,4,2.7,1.05,1.4000000000000001,0.3175264894910544,1.1127323258641653,0.38163898765900583,-0.3322933491354762,-0.029869203352707513,3.7621667153279463,3.535691064007164,1.4302588153552196,6.202619885122316
49,valet,2,5,3.17,0.45000000000000007,2.0500000000000003,0.5237102657634184,1.0128539169706445,0.5474050907677778,-0.3127549455262509,-0.04926457773983196,5.942365117629434,5.437103760025022,1.5365641827340628,6.733544807977084
50,medal,2,5,4.39,0.22499999999999998,2.175,0.29129755080771236,1.266284523189161,0.3641960576245987,-0.29981562727872535,-0.027401889509021084,5.904357624252647,5.762241285237069,1.5575820739968735,6.2230664100243755
51,unite,3,5,3.9,1.0250000000000001,1.2000000000000004,0.312836546812576,1.174048983845753,0.3786691662369724,-0.3233906084208231,-0.029428028029664245,4.649659388503413,5.422250752067084,1.486885530658329,5.637687967238673
52,rainy,2,5,3.74,0.55,1.5000000000000002,0.4802848705923224,0.9129755080771235,0.5358060591567524,-0.28189995680286695,-0.045179621044986885,5.11169753548171,7.131544231155491,1.3932603786694457,5.51343995853782
53,spell,1,4,4.37,0.35000000000000003,1.225,0.312836546812576,1.1780441202014937,0.3803595663863455,-0.25266839306231836,-0.029428028029664245,5.688669924328491,5.311208673554208,1.4908806670140697,5.943692798905156
54,begin,2,5,4.84,0.19999999999999998,1.2999999999999996,0.2984193156157721,0.9661281917665451,0.36910809776431314,-0.2205609871386521,-0.02807182240697568,5.4135920786284135,5.366203368825504,1.2645475073823171,4.636233113656299
55,stale,2,5,3.43,1.3499999999999996,1.6500000000000001,0.4187945110300504,1.5893694632621156,0.47974096606562455,-0.431844781885215,-0.03939532236508625,3.254443287978512,4.254341960124186,2.0081639742921658,8.331902902067283
56,dream,2,5,4.91,0.5,2.2249999999999996,0.2744484974813271,1.3394128886572867,0.3488721412603071,-0.3373115086408359,-0.02581692631142119,3.4613110581518263,4.4968085615673825,1.6138613861386137,5.884757978719002
57,photo,2,4,4.97,0.27499999999999997,0.35000000000000003,0.30189334722945976,0.6133402813965607,0.3787248722278468,-0.14352466590984087,-0.02839861894256328,8.36743927751315,9.659315997559592,0.9152336286260205,4.596890035378764
58,aloud,3,5,3.51,0.5000000000000001,1.3749999999999996,0.2996352266805628,1.1106479068959527,0.37719924653053866,-0.27099966878025206,-0.02818620119443134,3.872422227501484,5.053002546704053,1.4102831335765156,5.594668173483565
59,inept,2,5,3.13,0.225,1.6999999999999997,0.20757338891783916,1.2560361299287823,0.27873240051176884,-0.2630198864050068,-0.019526093001359764,6.521012503876665,7.051496176534659,1.4636095188466216,5.517260657383391
60,piney,2,5,2.48,0.25,1.2249999999999992,0.5839847142608998,0.7582073996873372,0.6171950447860443,-0.22823454066362173,-0.054934497632276945,7.338531690651863,5.632723836770326,1.342192113948237,4.409839994834512
61,aptly,1,5,3.12,0.4,1.2000000000000002,0.2985930171964565,0.9798506166406115,0.3697788946761767,-0.23768546381915467,-0.028088162233755057,7.1456961564368076,7.040616333139691,1.278443633837068,6.099929524806038
62,waltz,1,5,3.38,0.3,1.3,0.3482716692721904,0.7215563661629321,0.39701866550339887,-0.2121393455736234,-0.032761352692657834,6.074319592780286,4.08122164192426,1.0698280354351224,5.765905679689873
63,libel,2,4,3.34,0.275,1.2999999999999992,0.4346013548723293,0.7642869550112906,0.4691559168102577,-0.22065757578602874,-0.040882246602009856,5.726857352733932,4.340048131100993,1.1988883098836198,5.072405547314485
64,sneak,2,5,3.99,0.4,2.0500000000000003,0.3076254993920445,1.476463435817266,0.37566697958594225,-0.33162272245828894,-0.028937833226282836,5.380084910791525,5.595689858105387,1.7840889352093103,6.802734611076019
65,carry,1,4,4.89,0.325,1.2249999999999999,0.4898384575299635,0.5711307972902553,0.5458778365464072,-0.21217760310610886,-0.046078311517852806,4.988650408285577,4.38641637869804,1.0609692548202188,5.380139760619094
66,flout,2,5,2.25,0.22499999999999998,0.8250000000000003,0.29112384922702794,0.8789299982629842,0.36940043955593627,-0.18827309159678146,-0.0273855496822417,5.681092771606386,5.852262702047375,1.1700538474900122,5.103084211571401
67,foggy,1,4,3.19,0.025,0.125,0.3837067917318048,0.3182212958137919,0.43716959919102316,-0.0831140972018327,-0.036094677355651424,6.3950849502335725,4.76080331090722,0.7019280875455967,3.9097753595290845
68,fault,2,5,4.64,0.25,1.65,0.39708181344450233,0.8481848184818482,0.46168647948979974,-0.24477039118874921,-0.03735284401766371,5.127985757292707,5.206054297906497,1.2452666319263506,5.864175703091689
69,mummy,1,3,3.57,0.075,0.275,0.3289907938162237,0.16050026055237102,0.3995556169820747,-0.07902344291926418,-0.03094763192014661,5.719708846553031,2.3400755170901233,0.48949105436859475,3.877127909536312
70,spiel,2,5,2.66,0.8,1.2749999999999997,0.4834114990446413,1.2840020844189681,0.5133746137071479,-0.32710094896715036,-0.045473737927015735,5.777526457937299,6.388785072737636,1.7674135834636093,6.5100099594666005
71,grove,2,5,3.94,0.8500000000000002,0.7000000000000003,0.3256904637832204,1.0345666145561925,0.39317471676617677,-0.2648767445931002,-0.030637175211338387,4.591564769368604,3.5831866254725804,1.360257078339413,4.747164718386287
72,denim,2,5,3.52,0.25,1.5749999999999995,0.3025881535521973,1.071391349661282,0.37142774332601936,-0.2513863907387504,-0.028463978249680805,6.6962971431768565,7.060634706343564,1.3739795032134792,4.707339293176571
73,quirk,2,5,3.13,0.5500000000000002,0.7500000000000002,0.2678478374153205,0.6423484453708529,0.3320443246799412,-0.19385308981839927,-0.02519601289380474,6.201484427444508,5.707493723981993,0.9101962827861734,4.768863188496883
74,exist,2,5,4.73,0.6250000000000001,1.7249999999999996,0.22494354698627758,1.40055584505819,0.29000014284793163,-0.32169245334386365,-0.021160075679297796,5.757416153939703,5.5224046899502,1.6254993920444676,6.109702750344084
75,stein,2,5,3.65,0.5750000000000001,1.8499999999999996,0.3005037345839847,1.5240576689247871,0.3684284297375771,-0.3425839177446569,-0.02826790032832824,4.764150442594651,5.8749384875822805,1.8245614035087718,6.365946365594246
76,spade,2,5,3.33,1.1999999999999995,1.4750000000000003,0.39169706444328645,1.4366857738405419,0.4511622845277427,-0.3890157864579427,-0.03684630938750292,5.2027486621828185,5.6943578350174615,1.8283828382838283,7.258440740126262
77,catch,1,4,4.87,0.175,1.375,0.3564356435643564,0.6355740837241619,0.4172042390919609,-0.19727866702552074,-0.03352932455128871,1.8493107070487884,1.1433739643724938,0.9920097272885183,5.258440740126262
78,floor,2,4,4.94,0.125,0.6750000000000002,0.3170053847490012,0.7203404550981414,0.3975715702043032,-0.1575150436076956,-0.02982018387236937,8.149754514483673,7.893717756650164,1.0373458398471427,5.760008788747201
79,equal,3,5,4.65,0.1,2.2499999999999996,0.17248566961959355,1.231891610213653,0.23555995182052478,-0.27441956556534464,-0.01622544799192494,5.2419538555764,4.815089160361842,1.4043772798332466,5.917706771588683
80,ionic,3,4,3.21,0.175,0.6000000000000002,0.2999826298419316,0.699843668577384,0.34827474150126614,-0.15173526912866345,-0.0282188808479901,3.9806236131310846,2.466900850033915,0.9998262984193156,4.142373342685459
81,valid,2,5,4.38,0.22499999999999998,1.7249999999999996,0.37206878582595104,0.8481848184818482,0.43070198427973644,-0.24320440400412124,-0.03499990896143294,6.020367796433905,6.029344889776053,1.2202536043077994,5.477267072773874
82,enjoy,2,5,5.09,0.0,1.0999999999999999,0.21400034740316137,1.0338718082334548,0.2688446407856444,-0.18346681341175541,-0.020130666592196835,5.55821337322251,3.8421951241796473,1.2478721556366161,4.407356259522032
83,howdy,1,5,3.08,0.07500000000000001,0.4,0.3701580684384228,0.550634010769498,0.42189985213444486,-0.12360176595255117,-0.034820170866859755,5.776886211228777,4.127101648175208,0.9207920792079208,4.016584332742048
84,vigor,2,5,3.03,0.025,1.125,0.2751433038040646,0.8389786347055758,0.3419042183089854,-0.17748103137741122,-0.02588228561853871,6.157130729938583,4.728891217382159,1.1141219385096404,4.765224037796309
85,dandy,1,4,3.25,0.125,1.2249999999999992,0.4401598054542296,0.5499392044467605,0.4968626168920533,-0.18373131165297063,-0.04140512105895003,4.205106873931095,2.445445981339356,0.9900990099009901,4.845563143998585
86,sloth,1,5,3.1,0.55,0.7500000000000002,0.383359388570436,1.1683168316831682,0.4533233141822467,-0.2536194434667711,-0.03606199770209266,5.868925852947372,7.4818000527831945,1.5516762202536043,5.750533666070135
87,marxh,1,5,0.0,0.1,1.4749999999999999,0.33003300330033003,0.7215563661629321,0.37634578714998684,-0.19849784253140004,-0.031045670880822895,5.131587941366031,5.656337996619816,1.051589369463262,5.238120755746665
88,bough,2,5,2.73,0.05,0.45000000000000007,0.35157199930519367,0.553760639221817,0.41268684834685665,-0.12310970123935489,-0.03307180940146606,5.432976266793625,4.346185756561816,0.9053326385270106,3.9097753595290845
89,sting,1,5,3.8,0.7500000000000001,0.8000000000000003,0.31422615945805105,1.1056105610561056,0.37328731965840284,-0.2641975231012357,-0.029558746643899285,4.50952103148453,5.068674522881652,1.4198367205141567,5.653158255025509
90,twine,2,5,2.93,0.9500000000000002,0.9750000000000004,0.3394128886572868,1.046030918881362,0.40869067563349964,-0.29398072972516875,-0.03192802152690944,6.490570389822581,6.859131560417229,1.3854438075386488,5.750983454083408
91,leave,3,4,5.34,1.0500000000000003,1.0,0.3807538648601702,0.8804933124891436,0.43987174898209075,-0.29444326772395435,-0.03581690030040195,5.729055103378488,4.601741703854921,1.261247177349314,6.606829203970036
92,scorn,1,5,3.13,0.4500000000000002,0.8250000000000003,0.3131839499739448,1.2687163453187424,0.3776374189241271,-0.24846326217126224,-0.029460707683223005,5.438545888535683,5.99110565499702,1.5819002952926873,5.735323717007512
93,scald,1,5,2.17,0.7000000000000002,1.3249999999999997,0.383359388570436,1.199409414625673,0.4455016382988988,-0.30464401416531073,-0.03606199770209266,5.3332355399246705,4.836123475232262,1.5827688031961091,6.277106249737265
94,usurp,2,4,2.7,0.175,1.1249999999999998,0.14399861038735454,1.069654333854438,0.20313980298904782,-0.2002603545142639,-0.013545716400106565,6.0643661102888675,5.366614674326985,1.2136529442417925,5.258440740126262
95,soggy,1,4,3.14,0.275,0.37500000000000006,0.4542296334896648,0.6770887615077297,0.4989968832557988,-0.1629688576187796,-0.04272864702807984,6.327502282396368,5.252486136884045,1.1313183949973944,4.731324251834699
96,brisk,1,5,3.2,0.8000000000000003,0.7000000000000003,0.31335765155462914,1.0495049504950495,0.3884556457224234,-0.2603573138306994,-0.029477047510002383,5.790670132929333,5.475805159996642,1.3628626020496788,5.4412529474659745
97,admit,2,5,4.58,0.7750000000000002,1.4999999999999998,0.207052284175786,1.1042209484106305,0.2783175382153542,-0.29708928126022105,-0.019477073521021623,4.575296539024852,4.7209047427484645,1.3112732325864165,5.837181623797114
98,grate,2,5,3.17,1.4249999999999996,1.4249999999999998,0.4137571651902032,1.241792600312663,0.4856737775634632,-0.3963457111947877,-0.03892146738848422,3.2318391038757714,3.665310078421572,1.6555497655028661,7.137072558862149
99,glory,1,5,4.36,0.30000000000000004,0.5250000000000001,0.3644259162758381,0.8473163105784263,0.43897397073966476,-0.18344983096978362,-0.034280956583140204,6.361323336654615,6.864969864897913,1.2117422268542644,5.900140255573937
100,saint,2,5,4.41,0.8250000000000003,1.6749999999999998,0.5065138092756644,1.2032308494007296,0.5601023536568925,-0.35014793589664317,-0.04764693488867331,4.242326290252866,5.38890852098536,1.709744658676394,7.025127032412467
101,recap,2,5,3.45,0.22499999999999998,2.2249999999999996,0.2678478374153205,1.327774882751433,0.3360194336613131,-0.30533963534256314,-0.02519601289380474,5.434493139088592,5.56670590063897,1.5956227201667534,6.0437427105798145
102,alike,3,5,4.13,1.325,1.2250000000000003,0.3491401771756123,1.2369289560535002,0.4247919986388805,-0.36749519813895837,-0.03284305182655474,4.840837346987799,4.231984760349054,1.5860691332291124,6.295360203670087
103,trice,2,5,2.4,1.1749999999999998,1.25,0.3739795032134792,1.199756817787042,0.4479548670602532,-0.35178617425732767,-0.035179647056006125,2.734535837643041,2.1227342355002166,1.573736321000521,5.7071210832327415
104,stick,1,5,4.76,0.7000000000000001,0.8250000000000002,0.2978982108737189,1.0517630710439465,0.3608567291591169,-0.2541224213846388,-0.028022802926637533,5.740909449207287,7.031791008545755,1.3496612819176654,5.402931625492336
105,chute,2,5,3.19,0.8000000000000003,0.9750000000000003,0.3588674656939378,0.9371200277922529,0.4354862678938352,-0.27074920462472657,-0.03375808212620003,6.173428246780869,7.849431804229157,1.2959874934861908,5.243806883259758
106,parer,2,4,1.55,0.325,2.05,0.594059405940594,0.834114990446413,0.6211562065956726,-0.2907142701193191,-0.055882207585481,2.953820915896458,0.7832886872831987,1.428174396387007,5.546633443491541
107,doubt,2,5,4.9,0.175,1.0,0.34636095188466215,0.7800937988535696,0.4063710640363459,-0.1877590653557422,-0.03258161459808465,4.860149164129411,5.900414607630531,1.1264547507382316,4.710179029960124
108,thyme,1,5,3.07,0.5750000000000001,0.8750000000000002,0.2602049678652076,0.9795032134792426,0.32881558336418004,-0.23374057113766855,-0.024477060515512003,6.691578299982032,6.737879580490132,1.2397081813444502,5.306887334148556
109,alpha,2,4,4.25,0.4750000000000001,0.7250000000000002,0.18690290081639743,0.8037172138266458,0.25771992918652753,-0.19130511411529524,-0.017581653614613505,7.014951339239947,6.181895166988136,0.9906201146430433,5.376665059900682
110,booze,3,4,3.65,0.5750000000000001,0.4500000000000002,0.42782699322563833,0.5751259336459962,0.4768353781455017,-0.18811153558184046,-0.04024499335761402,7.250866323269603,4.394807491651666,1.0029529268716346,4.472994069078359
111,tibia,3,4,2.9,0.175,1.75,0.28469689074170573,0.7992009727288518,0.3542938324339658,-0.22704008936695905,-0.02678097609140463,7.294268440422534,5.730309495592851,1.0838978634705576,5.548978018830236
112,lofty,1,5,3.34,0.225,0.5250000000000001,0.41358346360951886,0.7212089630015633,0.4652219043063522,-0.16668890880433013,-0.03890512756170484,5.099176150779434,4.248007829338119,1.1347924266110823,5.077191543643417
113,theme,2,4,4.62,0.6500000000000001,0.8000000000000003,0.31735278791036997,0.7684557929477158,0.3934372653389152,-0.2251059361163776,-0.02985286352592813,6.329805956487775,7.0201286153372715,1.0858085808580857,5.4203544021191785
114,class,1,4,5.36,0.8250000000000004,0.9000000000000001,0.5951016154247004,0.7825256209831509,0.5960171568603907,-0.27160266041358283,-0.05598024654615729,3.8673177457530366,3.1536702057700774,1.3776272364078515,6.048710863707603
115,leery,2,4,2.58,0.325,1.2499999999999998,0.4000347403161369,0.883793642522147,0.4694677587877744,-0.2339833949676964,-0.03763062107291317,5.9381989300958065,4.875786730855488,1.283828382838284,5.944721458514431
116,taunt,2,4,2.96,0.32500000000000007,1.4749999999999996,0.4108042383185687,0.6847316310578426,0.47514147381120864,-0.22948750351527858,-0.038643690333234754,2.977980076449556,2.1271366081075276,1.0955358693764112,5.550934746433719
117,whoop,2,4,3.2,0.025,0.15000000000000002,0.23206531179433734,0.4955706096925482,0.30572695069347755,-0.08711258774230123,-0.02183000857725239,10.354687908327977,9.075223116615707,0.7276359214868855,3.9547895152280432
118,inter,2,5,4.16,0.275,2.1499999999999995,0.37363210005211045,1.255862428348098,0.4104823773499815,-0.3075538984575706,-0.03514696740244736,5.294101390059649,5.157691734536144,1.6294945284002083,5.719391953425596
119,gully,1,4,3.11,0.15,0.3500000000000001,0.3875282265068612,0.34896647559492794,0.46077563459061716,-0.11461461507884488,-0.036454153544797786,5.35758858199249,3.1947823258148045,0.7364947021017891,4.558985192185617
120,charm,1,5,4.12,0.7000000000000002,0.9500000000000004,0.29581379190550633,0.8990793816223728,0.36594437538501945,-0.24802931770221975,-0.02782672500528497,4.867779989613057,5.910232524824555,1.1948931735278792,5.478756306496708
121,fungi,2,5,3.48,0.075,0.8250000000000003,0.2575994441549418,0.6466909848879625,0.3254206802963825,-0.1467080229402263,-0.0242319631138213,7.322873289119972,6.300388327417105,0.9042904290429044,4.1040894239035355
122,prize,2,5,4.59,1.125,0.7750000000000004,0.34636095188466215,0.9739447628973423,0.41130026269231984,-0.29516285335904063,-0.03258161459808465,4.364317002645818,2.745558452083266,1.3203057147820045,4.686540205810289
123,onset,2,5,3.72,0.35000000000000003,1.6999999999999997,0.36685773840541946,1.5138092756644086,0.4058405784561452,-0.3126750900085675,-0.03450971415805153,6.88644854381112,7.147173479381678,1.880667014069828,6.321176495474224
124,chief,2,5,5.11,0.6250000000000001,0.9000000000000004,0.4340802501302762,0.7714087198193503,0.46801596528147205,-0.23600543297157087,-0.04083322712167172,6.25457789528819,7.022092733865231,1.2054889699496265,4.268870099637501
125,gauze,3,5,2.89,0.675,1.525,0.37484801111690114,0.8862254646517284,0.42489761589825586,-0.28306299492915576,-0.03526134618990302,4.836563686519626,2.9286991351491287,1.2610734757686295,5.804134153666832
126,ruder,2,4,2.13,0.45,1.5499999999999998,0.45318742400555845,0.7955532395344798,0.49494204705984063,-0.2592405475324513,-0.042630608067403555,5.328717855528306,4.013997385194598,1.2487406635400382,4.392016736024673
127,irony,2,5,3.86,0.4000000000000001,0.8000000000000003,0.35869376411325343,0.9593538301198541,0.4249555492660975,-0.2186026951893553,-0.03374174229942065,5.004928572700622,5.084725619017891,1.3180475942331076,4.832651965316599
